Offset,Abbreviation,Name,Block,RW,Page
0x00000,CTRL,Device Control Register,Target,RW,543
0x00008,STATUS,Device Status Register,Target,RO,544
0x00018,CTRL_EXT,Extended Device Control Register,Target,RW,544
0x00020,ESDP,Extended SDP Control,Target,RW,545
0x00028,I2CCTL,I2C Control,Target,RW,549
0x00200,LEDCTL,LED Control,Target,RW,549
0x05078,EXVET,Extended VLAN Ether Type,Target,RW,551
0x10010,EEC,EEPROM/Flash Control Register,FLEEP,RW,552
0x10014,EERD,EEPROM Read Register,FLEEP,RW,554
0x1001C,FLA,Flash Access Register,FLEEP,RW,555
0x10114,EEMNGDATA,Manageability EEPROM Read/Write Data,FLEEP,RW,556
0x10118,FLMNGCTL,Manageability Flash Control Register,FLEEP,RW,557
0x1011C,FLMNGDATA,Manageability Flash Read Data,FLEEP,RW,557
0x0431C,PFCTOP,Priority Flow Control Type,Flow Control Registers,RW,559
0x03200+4*n&n=0...3,FCTTV[n],Flow Control Transmit Timer,Flow Control Registers,RW,559
0x03220+4*n&n=0...7,FCRTL[n],Flow Control Receive Threshold Low,Flow Control Registers,RW,560
0x03260+4*n&n=0...7,FCRTH[n],Flow Control Receive Threshold High,Flow Control Registers,RW,560
0x032A0,FCRTV,Flow Control Refresh Threshold Value,Flow Control Registers,RW,561
0x0CE00,TFCS,Transmit Flow Control Status,DBU-Tx,RO,561
0x03D00,FCCFG,Flow Control Configuration,DBU-Rx,RW,561
0x11000,GCR,PCIe Control Register,PCIe,RW,562
0x11010,GSCL_1,PCIe Statistic Control Register 1,PCIe,RW,562
0x11014,GSCL_2,PCIe Statistic Control Registers 2,PCIe,RW,563
0x011030+4*n&n=0...3,GSCL_5_8,PCIe Statistic Control Register,PCIe,RW,565
0x11020+4*n&n=0...3,GSCN_0_3,PCIe Statistic Counter Registers,PCIe,RO,565
0x10150,FACTPS,Function Active and Power State to Manageability,FLEEP,RO,565
0x11040,PCIEPHYADR,PCIe PHY Address Register,PCIe,RW,566
0x11044,PCIEPHYDAT,PCIe PHY Data Register,PCIe,RW,567
0x10140,SWSM,Software Semaphore Register,FLEEP,RW,567
0x10148,FWSM,Firmware Semaphore Register,FLEEP,RW,567
0x10160,SW_FW_SYNC,Software–Firmware Synchronization,FLEEP,RW,569
0x11050,GCR_EXT,PCIe Control Extended Register,PCIe,RW,569
0x11064,MREVID,Mirrored Revision ID,PCIe,RO,570
0x110B0,PICAUSE,PCIe Interrupt Cause,PCIe,RO,570
0x110B8,PIENA,PCIe Interrupts Enable,PCIe,RW,571
0x00800,EICR,Extended Interrupt Cause Register,Interrupt,RW1C,572
0x00808,EICS,Extended Interrupt Cause Set Register,Interrupt,WO,573
0x00880,EIMS,Extended Interrupt Mask Set/Read Register,Interrupt,RWS,573
0x00888,EIMC,Extended Interrupt Mask Clear Register,Interrupt,WO,574
0x00890,EIAM,Extended Interrupt Auto Mask Enable,Interrupt,RW,574
